year,number_of_households,growth_index
2022,24783168,1
2023,25154511,1.014984182371866
2024,25496341,1.0287765627915146
2025,25730087,1.0382083481869622
2026,25937152,1.046563705671475
2027,26158254,1.055485143595653
2028,26385166,1.0646408553923172
2029,26624214,1.0742863971116725
2030,26861578,1.0838634620436394
2031,27092568,1.0931850134047982
2032,27328329,1.1026975096538676
2033,27563124,1.1121708823786287
2034,27795660,1.1215543262206964
2035,28024355,1.1307816582801011
2036,28247194,1.1397730597705502
2037,28471252,1.1488136524023118
2038,28691549,1.1577030183820245
2039,28903803,1.166267501936211
2040,29108303,1.1745187848989485
2041,29313680,1.1828061753488324
2042,29510532,1.1907489304537515
2043,29702516,1.1984953033079897
2044,29889829,1.2060539172290656
2045,30071332,1.2133769404163592
2046,30249942,1.2205842497271973
2047,30424466,1.2276258469117307
2048,30630523,1.2359409749698513
2049,30837990,1.2443124242229002
2050,31046867,1.2527405761535169
