Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Figure 7.2.4 Key indicators for the residential buildings 
sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Description: This key indicators for residential buildings in the Balanced Pathway show the proportion of homes with a heat pump and the proportion with low-carbon heating increasing, following an S-curve shape. The ratio of electricity to gas prices is reduced and heat pump installation costs fall gradually. Home insulation measures are deployed rapidly over the coming years.
Source: Historical data from EHPA, DESNZ, and BSRIA; CCC analysis.
Notes: (a) The chart shows the share of existing homes that are heated by a heat pump in each year, including homes with individual heat pumps and those connected to communal heat pump systems. This share does not include homes connected to low-carbon heat networks (some of which will use heat pumps). (b) This includes all electrified low-carbon heating. (e) The range represents the effect of two policy approaches to reducing the price of electricity that we have considered in our distributional analysis (see Chapter 8). (f) The pathway shows the cost of a first-time heat pump installation in a typical property, excluding any ancillary costs such as a hot water tank or radiator upgrades. There is limited historical data on the cost of heat pump installations. The data shown are likely an underestimate: the average cost of an air source heat pump installed under the Boiler Upgrade Scheme since its inception is £13,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Name,Unit,Series,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,,,,,,,,,Proportion of homes with a heat pump,%,Historical,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.59,0.59,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Proportion of homes with a heat pump,%,CCC milestone,,,,,,,,,,,,,,,,,,1.58,1.99,2.56,3.35,4.46,6.02,8.21,11.31,15.69,20.60,25.59,30.86,36.12,41.37,46.60,51.53,56.36,61.02,65.43,69.51,73.11,76.06,78.13,79.01,79.37,79.66
,,,,,,,,,,Proportion of homes with low-carbon heating,%,Historical,9.30,9.80,9.90,9.60,9.10,8.70,8.40,8.40,8.50,8.50,8.50,7.90,8.30,9.10,8.40,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Proportion of homes with low-carbon heating,%,CCC milestone,,,,,,,,,,,,,,,,,,9.49,9.96,10.84,12.17,13.86,16.01,18.81,22.50,27.45,32.96,38.60,44.55,50.63,56.70,62.77,68.49,74.08,79.27,83.97,88.34,92.24,95.49,97.86,98.98,99.56,100.00
,,,,,,,,,,Proportion of homes with loft insulation (of those with lofts),%,Historical,73.00,74.00,76.00,78.00,82.00,84.00,86.00,87.00,86.00,87.00,88.00,89.00,90.00,91.00,91.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Proportion of homes with loft insulation (of those with lofts),%,CCC milestone,,,,,,,,,,,,,,,,,,91.36,91.66,92.17,93.05,94.56,97.16,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78
,,,,,,,,,,Proportion of homes with cavity wall insulation (of those with cavity walls),%,Historical,52.00,50.00,61.00,63.00,66.00,68.00,69.00,68.00,69.00,68.00,67.00,68.00,70.00,70.00,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Proportion of homes with cavity wall insulation (of those with cavity walls),%,CCC milestone,,,,,,,,,,,,,,,,,,71.85,72.59,73.85,76.02,79.76,86.19,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45
,,,,,,,,,,Ratio of residential electricity to gas prices,,Historical,,,3.37,3.23,3.12,3.13,3.10,3.24,3.50,3.82,4.07,4.29,4.51,5.14,3.81,3.74,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ratio of residential electricity to gas prices,,CCC milestone (lower),,,,,,,,,,,,,,,,,,2.17,2.00,2.16,2.22,2.24,2.38,2.34,2.32,2.33,2.40,2.40,2.38,2.39,2.38,2.36,2.21,2.19,2.16,2.13,2.11,2.08,2.10,2.26,2.27,2.29,2.29
,,,,,,,,,,Ratio of residential electricity to gas prices,,CCC milestone (upper),,,,,,,,,,,,,,,,,,3.10,2.79,2.91,2.96,3.05,3.28,3.21,3.11,3.04,2.98,2.93,2.88,2.84,2.80,2.75,2.60,2.55,2.51,2.46,2.40,2.30,2.30,2.30,2.30,2.29,2.28
,,,,,,,,,,Average cost of heat pump installation,£k,Historical,,,,,,,7.18,7.25,,,9.45,8.23,9.01,10.92,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Average cost of heat pump installation,£k,CCC milestone,,,,,,,,,,,,,,,,,,11.40,11.30,11.20,11.00,10.90,10.80,10.60,10.50,10.30,10.10,10.00,9.80,9.70,9.50,9.40,9.20,9.10,8.90,8.80,8.70,8.50,8.40,8.30,8.10,8.00,7.80
